date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:37:46	105/105	---M-Z	200	added ('OK')	text/plain	etag:%2221754aed95efe8607f73eb80355f02d8%22	https://wsuformulaelectric.framer.website/robots.txt		(from )
18:37:46	210907/210907	---M-Z	200	added ('OK')	text/html	etag:%2274fbedd935e88e13feef7503f9902ce6%22	https://wsuformulaelectric.framer.website/	C:/My%20Web%20Sites/wsuformulae/wsuformulaelectric.framer.website/index.html	(from )
18:37:47	20446/20446	---MC-	200	added ('OK')	image/png	date:Fri,%2016%20Feb%202024%2000:22:02%20GMT	https://framerusercontent.com/images/q5if1T2O6vnH81YgMuYaWbZmWJs.png	C:/My%20Web%20Sites/wsuformulae/framerusercontent.com/images/q5if1T2O6vnH81YgMuYaWbZmWJs.png	(from https://wsuformulaelectric.framer.website/)
18:37:47	116260/116260	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202024%2000:22:02%20GMT	https://framerusercontent.com/images/YvnrYhkE3KUnG69byma7dfABU.jpg	C:/My%20Web%20Sites/wsuformulae/framerusercontent.com/images/YvnrYhkE3KUnG69byma7dfABU.jpg	(from https://wsuformulaelectric.framer.website/)
18:37:47	16066/16066	---MC-	200	added ('OK')	image/png	date:Fri,%2016%20Feb%202024%2000:22:03%20GMT	https://framerusercontent.com/images/d4S1iAuWFnSxMphl3r0Y5Nrp6rE.png	C:/My%20Web%20Sites/wsuformulae/framerusercontent.com/images/d4S1iAuWFnSxMphl3r0Y5Nrp6rE.png	(from https://wsuformulaelectric.framer.website/)
18:37:48	145997/145997	---M-Z	200	added ('OK')	text/html	etag:%22464c61b9af6bd6cf955adcebea46f04d%22	https://wsuformulaelectric.framer.website/about	C:/My%20Web%20Sites/wsuformulae/wsuformulaelectric.framer.website/about.html	(from https://wsuformulaelectric.framer.website/)
18:37:48	210699/210699	---M-Z	200	added ('OK')	text/html	etag:%221abf9494d9c9de119a3f710da20f2436%22	https://wsuformulaelectric.framer.website/nl/	C:/My%20Web%20Sites/wsuformulae/wsuformulaelectric.framer.website/nl/index.html	(from https://wsuformulaelectric.framer.website/)
18:37:48	148029/148029	---M-Z	200	added ('OK')	text/html	etag:%22269a396a3b05778089d4b469e20464b3%22	https://wsuformulaelectric.framer.website/updates	C:/My%20Web%20Sites/wsuformulae/wsuformulaelectric.framer.website/updates.html	(from https://wsuformulaelectric.framer.website/)
18:37:49	149319/149319	---M-Z	200	added ('OK')	text/html	etag:%2231b13821089c87cf3ce7e117e605101a%22	https://wsuformulaelectric.framer.website/contact	C:/My%20Web%20Sites/wsuformulae/wsuformulaelectric.framer.website/contact.html	(from https://wsuformulaelectric.framer.website/)
18:37:49	136299/136299	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202024%2000:22:04%20GMT	https://framerusercontent.com/images/FZFOxVZdJLh3n4Hy4qiIACcrptY.jpg	C:/My%20Web%20Sites/wsuformulae/framerusercontent.com/images/FZFOxVZdJLh3n4Hy4qiIACcrptY.jpg	(from https://wsuformulaelectric.framer.website/)
18:37:49	8191/8191	---MC-	200	added ('OK')	image/png	date:Fri,%2016%20Feb%202024%2000:22:05%20GMT	https://framerusercontent.com/images/tBe6BWah8L5zxQu038QoGxvrrs.png	C:/My%20Web%20Sites/wsuformulae/framerusercontent.com/images/tBe6BWah8L5zxQu038QoGxvrrs.png	(from https://wsuformulaelectric.framer.website/)
18:37:49	9836/9836	---MC-	200	added ('OK')	image/png	date:Fri,%2016%20Feb%202024%2000:22:05%20GMT	https://framerusercontent.com/images/JMmuvFjcK0khTagnqux1r0qbY1g.png	C:/My%20Web%20Sites/wsuformulae/framerusercontent.com/images/JMmuvFjcK0khTagnqux1r0qbY1g.png	(from https://wsuformulaelectric.framer.website/)
18:37:49	1675/1675	---MC-	200	added ('OK')	image/png	date:Fri,%2016%20Feb%202024%2000:22:05%20GMT	https://framerusercontent.com/images/42TGkCeaw00NSYsNelaVTuurkL4.png	C:/My%20Web%20Sites/wsuformulae/framerusercontent.com/images/42TGkCeaw00NSYsNelaVTuurkL4.png	(from https://wsuformulaelectric.framer.website/)
18:37:50	17708/17708	---MC-	200	added ('OK')	image/png	date:Fri,%2016%20Feb%202024%2000:22:06%20GMT	https://framerusercontent.com/images/5hEZ00jEn6dOQMQbpZvNMoJKRc.png	C:/My%20Web%20Sites/wsuformulae/framerusercontent.com/images/5hEZ00jEn6dOQMQbpZvNMoJKRc.png	(from https://wsuformulaelectric.framer.website/)
18:37:50	137465/137465	---M-Z	200	added ('OK')	text/html	etag:%22cc70d31e670c5ab7d433b8ef70081377%22	https://wsuformulaelectric.framer.website/project-details/rontor-copy	C:/My%20Web%20Sites/wsuformulae/wsuformulaelectric.framer.website/project-details/rontor-copy.html	(from https://wsuformulaelectric.framer.website/)
18:37:50	248424/248424	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202024%2000:22:06%20GMT	https://framerusercontent.com/images/Mgt20Apls2LFapYjeP844TkMFuk.jpg	C:/My%20Web%20Sites/wsuformulae/framerusercontent.com/images/Mgt20Apls2LFapYjeP844TkMFuk.jpg	(from https://wsuformulaelectric.framer.website/)
18:37:51	136183/136183	---M-Z	200	added ('OK')	text/html	etag:%223b035967ef76ec13d83bb081a660863c%22	https://wsuformulaelectric.framer.website/project-details/polaroid	C:/My%20Web%20Sites/wsuformulae/wsuformulaelectric.framer.website/project-details/polaroid.html	(from https://wsuformulaelectric.framer.website/)
18:37:51	103417/103417	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202024%2000:22:07%20GMT	https://framerusercontent.com/images/IaV2zXZMNLg1rgJT5CXwgYUCYpc.jpg	C:/My%20Web%20Sites/wsuformulae/framerusercontent.com/images/IaV2zXZMNLg1rgJT5CXwgYUCYpc.jpg	(from https://wsuformulaelectric.framer.website/)
18:37:52	137379/137379	---M-Z	200	added ('OK')	text/html	etag:%22a598b03780d8328d6c3da69f7a579906%22	https://wsuformulaelectric.framer.website/project-details/rontor	C:/My%20Web%20Sites/wsuformulae/wsuformulaelectric.framer.website/project-details/rontor.html	(from https://wsuformulaelectric.framer.website/)
18:37:52	90827/90827	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202024%2000:22:08%20GMT	https://framerusercontent.com/images/bTEeckM7KG9bl7vI6zRZuECqI4.jpg	C:/My%20Web%20Sites/wsuformulae/framerusercontent.com/images/bTEeckM7KG9bl7vI6zRZuECqI4.jpg	(from https://wsuformulaelectric.framer.website/)
18:37:53	137005/137005	---M-Z	200	added ('OK')	text/html	etag:%22a335d10ad7c8d6a0ad35c6b8f979865f%22	https://wsuformulaelectric.framer.website/project-details/luiro	C:/My%20Web%20Sites/wsuformulae/wsuformulaelectric.framer.website/project-details/luiro.html	(from https://wsuformulaelectric.framer.website/)
18:37:53	972570/972570	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202024%2000:22:09%20GMT	https://framerusercontent.com/images/zbR8xMgMM4YJ7yoOtiZ5etMQKBM.jpg	C:/My%20Web%20Sites/wsuformulae/framerusercontent.com/images/zbR8xMgMM4YJ7yoOtiZ5etMQKBM.jpg	(from https://wsuformulaelectric.framer.website/)
18:37:53	145837/145837	---M-Z	200	added ('OK')	text/html	etag:%22a05c3bbde0533ac0f8f2ee64fb4f28ca%22	https://wsuformulaelectric.framer.website/nl/about	C:/My%20Web%20Sites/wsuformulae/wsuformulaelectric.framer.website/nl/about.html	(from https://wsuformulaelectric.framer.website/nl/)
18:37:54	148911/148911	---M-Z	200	added ('OK')	text/html	etag:%22cd725e7574c50e5ac1dd828ea0e2c5f8%22	https://wsuformulaelectric.framer.website/nl/updates	C:/My%20Web%20Sites/wsuformulae/wsuformulaelectric.framer.website/nl/updates.html	(from https://wsuformulaelectric.framer.website/nl/)
18:37:55	150243/150243	---M-Z	200	added ('OK')	text/html	etag:%22bc71ab9eb813e36ddcc0957793613454%22	https://wsuformulaelectric.framer.website/nl/contact	C:/My%20Web%20Sites/wsuformulae/wsuformulaelectric.framer.website/nl/contact.html	(from https://wsuformulaelectric.framer.website/nl/)
